№,Область/город/район/сельский округ/село,Наименование организации,"Балансодержатель автомобиля (балансодержатель/
фактический пользователь/
форма владения:
баланс,
аренда,
лизинг,
доверительное управление)","Правоустанавливающие документы №/дата
(приказы закрепления, 
акты приема-передачи,
договоры, технический паспорт ТС аренды/лизинга)",Фактический пользователь,"По использованию
(закрепленное должностное лицо/
наличие водителя) Ф.И.О. и должность",Имеется ли приказ закрепления №/дата,Марка/модель/ год выпуска,ГРНЗГосударственныйрегистрационныйномернойзнак,Примечание
,1,2,3,4,5,6,7,8,9,10
Акимат Алматинской области,,,,,,,,,,
1,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80008603,Управление финансов,Руководитель,не имеется,Сhevrolet Мalibu,015QN05,
2,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007543,Управление финансов,Заместитель,не имеется,Skoda Super,047QN05,
3,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007451,Управление финансов,Заместитель,не имеется,Skoda Super,819AP05,
4,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007518,Управление государственных закупок,Руководитель,не имеется,Сhevrolet Мalibu,035QN05,
5,,,,тех. паспорт            № ВС 80007632,,Заместитель,не имеется,Skoda Super,224AV05,
6,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 80007562,Управление экономики и бюджетного планирования,Руководитель,не имеется,Сhevrolet Мalibu,055QN05,
7,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 99999726,Управление экономики и бюджетного планирования,Заместитель,не имеется,Skoda Super,067QN05,
8,"Алматинская область, город Конаев","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области","КГУ ""Хозяйственное управление""  аппарата акима Алматинской области      форма владения-баланс",тех. паспорт            № ВС 99999808,Управление экономики и бюджетного планирования,Заместитель,не имеется,Toyota Camry,052QN05,
